"A","A1","A2","A3","A4","A5","A6","B","BC_in_C1","BC_in_C2","BC_in_C3","BC_in_C4","BC_in_C5","BC_in_C6","BC_out_C1","BC_out_C2","BC_out_C3","BC_out_C4","BC_out_C5","BC_out_C6","Calc_rho","power_scalar","rho_temp","sum_C1","Time"
3.0356,0.15741,0.55611,0.66164,1.1408,0.29918,0.22052,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.806,16.163,5.341,2.9673,0.086456,0.013515,0,1,0,15.689,0
3.0392,0.15743,0.55625,0.66214,1.142,0.29989,0.22149,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.806,16.163,5.3411,2.9675,0.08648,0.013529,0.0014243,1.0216,0,15.69,0.1
3.0453,0.15745,0.55651,0.66302,1.1442,0.30109,0.22303,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.806,16.163,5.3415,2.9679,0.08654,0.013559,0.0014219,1.0387,-1.721e-09,15.692,0.2
3.0531,0.15749,0.55685,0.6642,1.1471,0.30263,0.22489,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.807,16.164,5.3422,2.9686,0.08664,0.013607,0.0014188,1.0525,6.4677e-07,15.695,0.3
3.0622,0.15754,0.55727,0.66562,1.1505,0.30437,0.22687,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.807,16.165,5.3433,2.9697,0.086784,0.01367,0.0014151,1.0637,1.8049e-06,15.699,0.4
3.072,0.15759,0.55774,0.66721,1.1543,0.30623,0.22886,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.808,16.167,5.3448,2.9712,0.08697,0.013745,0.0014112,1.0728,3.3644e-06,15.703,0.5
3.0822,0.15765,0.55826,0.66896,1.1585,0.30814,0.23079,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.808,16.17,5.3467,2.9731,0.087194,0.013828,0.0014071,1.0804,5.2411e-06,15.708,0.6
3.0928,0.15771,0.55881,0.67081,1.1628,0.31005,0.2326,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.809,16.173,5.3491,2.9755,0.087452,0.013917,0.0014029,1.0866,7.3692e-06,15.713,0.7
3.1034,0.15777,0.5594,0.67274,1.1673,0.31193,0.23428,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.81,16.176,5.352,2.9782,0.087741,0.014008,0.0013986,1.0918,9.6967e-06,15.718,0.8
3.1139,0.15784,0.56,0.67473,1.1718,0.31376,0.23582,0.89443,10.807,16.163,5.341,2.9673,0.086456,0.013515,10.812,16.181,5.3554,2.9814,0.088054,0.0141,0.0013944,1.0962,1.2182e-05,15.723,0.9
