"A","A1","A2","A3","A4","A5","A6","B","Calc_rho","power_scalar","rho_temp","sum_C1","Time"
3.7893,0.20654,0.78614,0.94773,1.3398,0.29422,0.21484,0.89443,0.0011243,1,0,16.697,0
3.7893,0.20654,0.78614,0.94773,1.3398,0.29422,0.21484,0.89443,0.0011243,1.026,-1.721e-09,16.697,0.1
3.7927,0.20655,0.78621,0.94807,1.3409,0.295,0.21596,0.89443,0.0011229,1.0455,7.8234e-07,16.697,0.2
3.7983,0.20656,0.78633,0.94865,1.3428,0.29628,0.21769,0.89443,0.0011207,1.0602,2.1441e-06,16.698,0.3
3.8053,0.20657,0.78649,0.94942,1.3452,0.29787,0.21971,0.89443,0.0011179,1.0712,3.93e-06,16.7,0.4
3.8131,0.20659,0.78668,0.95032,1.3481,0.29963,0.2218,0.89443,0.0011148,1.0796,6.0263e-06,16.701,0.5
3.8213,0.20661,0.78689,0.95132,1.3512,0.30146,0.22382,0.89443,0.0011115,1.086,8.3481e-06,16.703,0.6
3.8296,0.20663,0.78711,0.95239,1.3544,0.30329,0.22572,0.89443,0.0011082,1.0908,1.0831e-05,16.705,0.7
3.8379,0.20666,0.78735,0.95351,1.3578,0.30508,0.22745,0.89443,0.0011049,1.0945,1.3428e-05,16.706,0.8
3.8459,0.20668,0.78759,0.95466,1.3612,0.3068,0.22899,0.89443,0.0011016,1.0973,1.6102e-05,16.708,0.9
3.8538,0.20671,0.78784,0.95582,1.3647,0.30843,0.23034,0.89443,0.0010985,1.0994,1.8823e-05,16.71,1
3.8614,0.20673,0.7881,0.957,1.3681,0.30996,0.23151,0.89443,0.0010955,1.1009,2.1572e-05,16.712,1.1
3.8686,0.20676,0.78836,0.95819,1.3714,0.31137,0.23251,0.89443,0.0010925,1.1021,2.433e-05,16.715,1.2
3.8756,0.20679,0.78862,0.95937,1.3747,0.31268,0.23336,0.89443,0.0010898,1.1029,2.7084e-05,16.717,1.3
3.8822,0.20681,0.78889,0.96055,1.378,0.31388,0.23408,0.89443,0.0010871,1.1034,2.9825e-05,16.719,1.4
3.8885,0.20684,0.78915,0.96172,1.3811,0.31497,0.23467,0.89443,0.0010846,1.1037,3.2543e-05,16.721,1.5
3.8945,0.20687,0.78941,0.96287,1.3842,0.31596,0.23516,0.89443,0.0010822,1.1038,3.5231e-05,16.723,1.6
3.9002,0.20689,0.78968,0.96401,1.3872,0.31685,0.23556,0.89443,0.0010799,1.1037,3.7886e-05,16.725,1.7
3.9056,0.20692,0.78994,0.96514,1.3901,0.31765,0.23587,0.89443,0.0010778,1.1036,4.0501e-05,16.727,1.8
3.9107,0.20694,0.7902,0.96624,1.3929,0.31837,0.23611,0.89443,0.0010757,1.1033,4.3075e-05,16.73,1.9
3.9156,0.20697,0.79046,0.96733,1.3955,0.319,0.2363,0.89443,0.0010738,1.1029,4.5603e-05,16.732,2
3.9202,0.207,0.79072,0.9684,1.3981,0.31956,0.23643,0.89443,0.0010719,1.1025,4.8085e-05,16.734,2.1
3.9246,0.20702,0.79097,0.96945,1.4006,0.32005,0.23652,0.89443,0.0010701,1.102,5.0518e-05,16.736,2.2
3.9288,0.20705,0.79122,0.97048,1.403,0.32048,0.23657,0.89443,0.0010685,1.1015,5.2901e-05,16.738,2.3
3.9328,0.20708,0.79147,0.97148,1.4053,0.32085,0.23658,0.89443,0.0010669,1.1009,5.5233e-05,16.74,2.4
3.9365,0.2071,0.79172,0.97247,1.4075,0.32116,0.23657,0.89443,0.0010654,1.1003,5.7513e-05,16.742,2.5
3.9401,0.20713,0.79197,0.97343,1.4096,0.32142,0.23654,0.89443,0.001064,1.0997,5.9741e-05,16.744,2.6
3.9435,0.20715,0.79221,0.97438,1.4116,0.32164,0.23648,0.89443,0.0010626,1.099,6.1916e-05,16.746,2.7
3.9467,0.20718,0.79245,0.9753,1.4135,0.32181,0.23641,0.89443,0.0010613,1.0984,6.4039e-05,16.748,2.8
3.9497,0.2072,0.79269,0.9762,1.4154,0.32195,0.23632,0.89443,0.0010601,1.0977,6.6109e-05,16.75,2.9
3.9526,0.20723,0.79293,0.97708,1.4171,0.32205,0.23622,0.89443,0.001059,1.097,6.8126e-05,16.752,3
3.9553,0.20725,0.79316,0.97793,1.4188,0.32212,0.23611,0.89443,0.0010579,1.0963,7.0091e-05,16.754,3.1
3.9579,0.20727,0.79339,0.97877,1.4203,0.32217,0.236,0.89443,0.0010568,1.0955,7.2005e-05,16.756,3.2
3.9604,0.2073,0.79362,0.97959,1.4218,0.32218,0.23587,0.89443,0.0010558,1.0948,7.3867e-05,16.758,3.3
3.9627,0.20732,0.79385,0.98038,1.4232,0.32218,0.23574,0.89443,0.0010549,1.0941,7.5678e-05,16.76,3.4
3.9649,0.20735,0.79407,0.98116,1.4246,0.32215,0.2356,0.89443,0.001054,1.0934,7.7439e-05,16.762,3.5
3.967,0.20737,0.79429,0.98191,1.4259,0.3221,0.23546,0.89443,0.0010532,1.0927,7.915e-05,16.764,3.6
3.969,0.20739,0.79451,0.98265,1.4271,0.32204,0.23532,0.89443,0.0010524,1.0919,8.0812e-05,16.766,3.7
3.9708,0.20741,0.79472,0.98336,1.4282,0.32196,0.23518,0.89443,0.0010517,1.0912,8.2426e-05,16.768,3.8
3.9726,0.20744,0.79493,0.98406,1.4293,0.32187,0.23503,0.89443,0.001051,1.0905,8.3993e-05,16.769,3.9
3.9742,0.20746,0.79514,0.98474,1.4303,0.32177,0.23488,0.89443,0.0010503,1.0898,8.5513e-05,16.771,4
3.9758,0.20748,0.79535,0.9854,1.4312,0.32166,0.23473,0.89443,0.0010497,1.0891,8.6987e-05,16.773,4.1
3.9773,0.2075,0.79555,0.98604,1.4321,0.32153,0.23458,0.89443,0.0010491,1.0885,8.8416e-05,16.775,4.2
3.9787,0.20753,0.79576,0.98666,1.4329,0.3214,0.23444,0.89443,0.0010485,1.0878,8.9801e-05,16.776,4.3
3.98,0.20755,0.79595,0.98727,1.4337,0.32127,0.23429,0.89443,0.001048,1.0871,9.1142e-05,16.778,4.4
3.9812,0.20757,0.79615,0.98786,1.4344,0.32112,0.23414,0.89443,0.0010475,1.0865,9.2441e-05,16.78,4.5
3.9824,0.20759,0.79635,0.98843,1.4351,0.32097,0.234,0.89443,0.001047,1.0858,9.3699e-05,16.782,4.6
3.9835,0.20761,0.79654,0.98899,1.4357,0.32082,0.23386,0.89443,0.0010466,1.0852,9.4916e-05,16.783,4.7
3.9845,0.20763,0.79673,0.98953,1.4363,0.32067,0.23371,0.89443,0.0010462,1.0846,9.6093e-05,16.785,4.8
3.9855,0.20765,0.79692,0.99006,1.4368,0.32051,0.23357,0.89443,0.0010458,1.084,9.7232e-05,16.787,4.9
3.9864,0.20767,0.7971,0.99057,1.4373,0.32035,0.23343,0.89443,0.0010454,1.0834,9.8333e-05,16.788,5
3.9873,0.20769,0.79729,0.99106,1.4377,0.32019,0.2333,0.89443,0.0010451,1.0828,9.9396e-05,16.79,5.1
3.9881,0.20771,0.79747,0.99155,1.4381,0.32002,0.23316,0.89443,0.0010448,1.0822,0.00010042,16.792,5.2
3.9888,0.20773,0.79765,0.99201,1.4385,0.31986,0.23303,0.89443,0.0010445,1.0817,0.00010142,16.793,5.3
3.9895,0.20775,0.79782,0.99247,1.4388,0.3197,0.2329,0.89443,0.0010442,1.0811,0.00010237,16.795,5.4
3.9901,0.20777,0.798,0.99291,1.4392,0.31953,0.23278,0.89443,0.0010439,1.0806,0.0001033,16.796,5.5
3.9907,0.20779,0.79817,0.99333,1.4394,0.31937,0.23265,0.89443,0.0010437,1.0801,0.00010419,16.798,5.6
3.9913,0.20781,0.79834,0.99375,1.4397,0.31921,0.23253,0.89443,0.0010435,1.0795,0.00010505,16.8,5.7
3.9918,0.20783,0.79851,0.99415,1.4399,0.31905,0.23241,0.89443,0.0010433,1.079,0.00010588,16.801,5.8
3.9923,0.20785,0.79868,0.99454,1.4401,0.31889,0.23229,0.89443,0.0010431,1.0786,0.00010668,16.803,5.9
3.9928,0.20787,0.79884,0.99492,1.4402,0.31873,0.23218,0.89443,0.0010429,1.0781,0.00010745,16.804,6
3.9932,0.20789,0.79901,0.99529,1.4404,0.31858,0.23207,0.89443,0.0010427,1.0776,0.00010819,16.806,6.1
3.9936,0.2079,0.79917,0.99565,1.4405,0.31842,0.23196,0.89443,0.0010426,1.0772,0.00010891,16.807,6.2
3.9939,0.20792,0.79933,0.99599,1.4405,0.31827,0.23185,0.89443,0.0010424,1.0767,0.0001096,16.809,6.3
3.9942,0.20794,0.79949,0.99633,1.4406,0.31812,0.23175,0.89443,0.0010423,1.0763,0.00011026,16.81,6.4
3.9945,0.20796,0.79964,0.99665,1.4407,0.31798,0.23165,0.89443,0.0010422,1.0759,0.0001109,16.812,6.5
3.9948,0.20798,0.7998,0.99697,1.4407,0.31783,0.23155,0.89443,0.0010421,1.0755,0.00011151,16.813,6.6
