time A A1 A2 A3 A4 A5 A6 A7 A8 B C_int Calc_rho power_int total_flux lambda power_scalar
0 6796.8768044252 202.26453040518 919.65228643596 617.36706230143 1329.055450741 2193.665427969 687.32334327708 664.36732199143 183.18138130409 0.57626916615861 20747.009993282 0 1.0896302378092 0 0 1
0.05 6784.9382059935 202.25164982622 919.52291396317 617.2387527681 1328.2482663407 2190.9232227278 685.48955594265 660.30558904923 180.95825537562 0.57626916615861 20745.97367892 0.00021961690764134 1.0022598504476 1.0022598504476 5.7319834737558e-15 1
0.1 6794.2693727261 202.26092858574 919.6162299822 617.33139797153 1328.8345752448 2192.9354901116 686.86724428274 663.53206180224 182.89144474516 0.57626916615861 20746.718717651 0.00021045356194241 1.1523891084361 1.0022598504476 1.5569771727522e-14 1.1497907532876
0.15 6803.112018938 202.27033973092 919.7107943603 617.42521122389 1329.4255161656 2194.9474706136 688.21961624969 666.55700597325 184.55606462063 0.57626916615861 20747.474370699 0.00020176995072263 1.153323117723 1.0022598504476 3.186340322892e-15 1.1507226566124
0.2 6811.6015620655 202.27996774441 919.80745500594 617.52103302702 1330.0263696148 2196.9772333807 689.55958613301 669.42251395983 186.0074031998 0.57626916615861 20748.247488975 0.00019343309202826 1.1548352763378 1.0022598504476 1.5202776139975e-14 1.1522314056799
0.25 6819.8532093502 202.28988888362 919.90697566181 617.61961930866 1330.6418509552 2199.0407656402 690.89842531605 672.16477476356 187.29090882113 0.57626916615861 20749.044224547 0.00018532985061992 1.1568670255548 1.0022598504476 1.386442525788e-14 1.1542585738001
0.3 6827.9714286317 202.30017915103 920.01011609278 617.72172107038 1331.2766157158 2201.1537116531 692.24696060055 674.81705908822 188.44506525981 0.57626916615861 20749.870679048 0.00017735763751224 1.1594144363628 1.0022598504476 2.0458491501645e-14 1.1568002408208
0.35 6836.0505754035 202.31091350575 920.1176243031 617.82807675074 1331.9352134165 2203.331223138 693.61548695123 677.40971627247 189.50232106565 0.57626916615861 20750.732846976 0.00016942379419517 1.1624687966621 1.0022598504476 1.2650041438832e-14 1.1598477142858
0.4 6844.175417355 202.322165114 920.23022916557 617.93940500617 1332.6220441503 2205.5878196316 695.01368792616 679.97018196473 190.48988439652 0.57626916615861 20751.636561616 0.0001614450775261 1.1660168296617 1.0022598504476 1.6624333962085e-14 1.1633877473401
0.45 6852.421565684 202.3340046277 920.34863333803 618.05639778063 1333.3413170988 2207.937256162 696.45056206919 682.52299264922 191.43040195843 0.57626916615861 20752.587442829 0.00015334723617478 1.1700408483844 1.0022598504476 1.3736294656609e-14 1.1674026928863
0.5 6860.8558686747 202.34649953322 920.47350688576 618.17971407679 1334.0970135618 2210.3924070018 697.93436104777 685.08981977777 192.34254678974 0.57626916615861 20753.59085011 0.00014506462412342 1.1745191965772 1.0022598504476 4.2378644833554e-15 1.171870943501
