"A","A1","A2","A3","A4","A5","A6","A7","A8","B","C_int","lambda","power_int","power_scalar","Time"
6796.9,202.26,919.65,617.37,1329.1,2193.7,687.32,664.37,183.18,0.57627,20747,0,1.0023,1,0
6796.9,202.26,919.65,617.37,1329.1,2193.7,687.32,664.37,183.18,0.57627,20747,-5.4891e-17,1.0023,1,0.019894
6794.2,202.27,919.73,617.43,1329.2,2193.6,686.86,662.87,182.25,0.57627,20747,2.0902e-15,1.1361,1.1335,0.039789
6799.2,202.29,919.88,617.57,1329.9,2195.2,687.54,664,182.87,0.57627,20747,-6.2686e-16,1.1373,1.1347,0.059683
6804.1,202.31,920.02,617.71,1330.6,2196.7,688.21,665.12,183.45,0.57627,20747,-8.4094e-16,1.1378,1.1352,0.079577
6808.9,202.32,920.17,617.85,1331.2,2198.3,688.88,666.21,184.01,0.57627,20748,-1.9067e-15,1.1392,1.1366,0.099472
6813.7,202.34,920.32,617.98,1331.8,2199.8,689.54,667.29,184.54,0.57627,20748,-4.8491e-15,1.1402,1.1376,0.11937
6818.3,202.35,920.47,618.12,1332.5,2201.3,690.19,668.35,185.05,0.57627,20748,-8.4155e-16,1.141,1.1384,0.13926
6822.9,202.37,920.61,618.25,1333.1,2202.8,690.84,669.39,185.53,0.57627,20748,6.2657e-16,1.1414,1.1388,0.15915
6827.4,202.39,920.76,618.38,1333.7,2204.3,691.48,670.41,185.99,0.57627,20748,3.324e-15,1.1415,1.139,0.17905
6831.8,202.4,920.9,618.52,1334.3,2205.7,692.1,671.39,186.42,0.57627,20749,2.9606e-16,1.1414,1.1389,0.19894
6836,202.42,921.04,618.64,1334.9,2207.1,692.72,672.33,186.81,0.57627,20749,6.9411e-16,1.1411,1.1385,0.21884
6840.2,202.43,921.18,618.77,1335.5,2208.5,693.31,673.24,187.18,0.57627,20749,5.2062e-15,1.1405,1.1379,0.23873
6844.1,202.45,921.31,618.9,1336.1,2209.9,693.89,674.1,187.51,0.57627,20749,1.3959e-15,1.1397,1.1372,0.25863
6848,202.46,921.45,619.02,1336.6,2211.2,694.46,674.92,187.82,0.57627,20750,1.5488e-15,1.1388,1.1362,0.27852
6851.7,202.48,921.58,619.14,1337.2,2212.5,695,675.69,188.09,0.57627,20750,1.154e-15,1.1377,1.1351,0.29842
6855.3,202.49,921.71,619.26,1337.7,2213.8,695.53,676.41,188.33,0.57627,20750,2.0795e-15,1.1365,1.134,0.31831
6858.7,202.51,921.84,619.38,1338.3,2215,696.03,677.09,188.54,0.57627,20750,4.8234e-15,1.1353,1.1327,0.3382
6861.9,202.52,921.97,619.49,1338.8,2216.2,696.51,677.72,188.73,0.57627,20751,4.3671e-15,1.134,1.1314,0.3581
